#{"t_start": 1680343499.265461, "env_id": null}
r,l,t
-571544,3000,127.567359
-582104,3000,242.009599
-581024,3000,353.493765
-573640,3000,464.397317
-592216,3000,571.686374
-584736,3000,684.746998
-588672,3000,795.278812
-537176,3000,903.091015
-507264,3000,1016.976173
-595352,3000,1132.179826
-620960,3000,1250.269028
-590360,3000,1363.018502
-546920,3000,1476.391436
-563768,3000,1584.076527
-593944,3000,1686.545181
-563440,3000,1799.647077
-590048,3000,1905.653615
-610472,3000,2016.681493
-564024,3000,2125.281219
-597736,3000,2236.453826
-582688,3000,2345.584536
-638984,3000,2451.946941
-540976,3000,2557.229755
-556616,3000,2661.103466
-556448,3000,2773.951769
-655224,3000,2884.273196
-512952,3000,2994.589581
-534136,3000,3101.452991
-622864,3000,3210.804384
-609592,3000,3324.307952
-565896,3000,3432.782307
-568224,3000,3540.611966
-532832,3000,3650.399425
-564216,3000,3760.20235
-612480,3000,3864.077684
-550680,3000,3978.024086
-572056,3000,4085.391762
-674752,3000,4198.410987
-588888,3000,4306.544615
-596064,3000,4416.543916
-595800,3000,4528.521658
-593712,3000,4640.630931
-584576,3000,4753.630922
-522424,3000,4866.563489
-552184,3000,4979.590851
-535560,3000,5087.637545
-573624,3000,5200.518876
-525896,3000,5313.864225
-535616,3000,5421.481726
-614920,3000,5531.544085
-602352,3000,5642.530861
-584952,3000,5755.844464
-508752,3000,5857.004933
-566888,3000,5965.662148
-619824,3000,6072.558142
-548736,3000,6184.538349
-544680,3000,6297.533191
-565176,3000,6403.750525
-590536,3000,6514.999609
-562728,3000,6624.575929
-649944,3000,6738.675868
-544392,3000,6846.394182
-551376,3000,6955.418058
-501008,3000,7061.638637
-648664,3000,7172.330613
-530568,3000,7284.864235
-582656,3000,8252.231257
-593576,3000,8361.136826
-502600,3000,8467.329905
-579104,3000,8571.443565
-574584,3000,8673.974432
-514088,3000,8780.829218
-594616,3000,8888.183959
-537048,3000,8989.48894
-494464,3000,9096.877651
-548504,3000,9201.019925
-532200,3000,9306.682539
-497688,3000,9409.355385
-558816,3000,9515.100633
-537208,3000,9614.41317
-575472,3000,9722.758493
-570824,3000,9830.538316
-602688,3000,9934.627839
-578032,3000,10036.347018
-536016,3000,10136.926255
-573432,3000,10244.421319
-582864,3000,10348.421014
-527096,3000,10449.543189
-530232,3000,10555.192898
-582968,3000,10660.207145
-573856,3000,10761.217394
-582584,3000,10862.887434
-564936,3000,10968.07678
-631592,3000,11071.343309
-578424,3000,11171.31333
-541392,3000,11274.441558
-630096,3000,11380.903771
-640760,3000,11482.921125
-573392,3000,11590.648909
-528448,3000,11690.121728
-582448,3000,11795.953773
-555256,3000,11899.346491
-609456,3000,11995.232155
-500432,3000,12094.7012
-528248,3000,12194.554567
