#{"t_start": 1680343412.7867842, "env_id": null}
r,l,t
-541056,3000,44.910729
-576728,3000,87.96178
-544736,3000,130.275266
-592736,3000,171.039042
-509040,3000,216.018209
-536088,3000,261.400572
-541776,3000,309.12756
-561824,3000,351.321728
-487872,3000,396.180776
-562816,3000,438.689183
-581896,3000,486.135314
-506992,3000,530.347509
-511976,3000,573.936001
-512112,3000,618.660835
-577848,3000,665.069267
-578072,3000,712.57387
-533064,3000,756.460164
-540136,3000,800.019211
-577376,3000,843.698546
-554784,3000,886.818628
-638224,3000,932.04959
-619864,3000,973.437674
-633072,3000,1018.258741
-534064,3000,1059.542724
-533696,3000,1105.018393
-497144,3000,1145.340591
-525992,3000,1189.913307
-537016,3000,1235.905863
-619232,3000,1279.330351
-504136,3000,1324.141677
-550632,3000,1366.892645
-566056,3000,1412.675929
-525200,3000,1453.91384
-589000,3000,1497.532887
-571920,3000,1541.985451
-507760,3000,1586.572435
-560800,3000,1629.247718
-575080,3000,1670.893785
-599960,3000,1714.641881
-554792,3000,1757.420589
-522248,3000,1798.95297
-543496,3000,1843.671767
-525056,3000,1890.706542
-538784,3000,1934.181863
-559112,3000,1979.397131
-530880,3000,2022.142235
-521512,3000,2063.696611
-513928,3000,2108.037435
-552952,3000,2151.879605
-554152,3000,2194.916857
-516920,3000,2240.707531
-488880,3000,2284.425528
-518976,3000,2325.538316
-572904,3000,2370.696094
-532976,3000,2412.778577
-546800,3000,2454.622768
-523712,3000,2500.252029
-592920,3000,2543.789476
-522952,3000,2587.370654
-526176,3000,2631.381677
-487824,3000,2673.478892
-428072,3000,2715.86516
-460864,3000,2759.206019
-471832,3000,2803.045408
-491784,3000,2844.713157
-526992,3000,2889.684013
-509800,3000,3242.815148
-467912,3000,3285.083119
-561792,3000,3327.003876
-549128,3000,3370.278133
-475952,3000,3413.782796
-560760,3000,3455.668447
-474928,3000,3495.386948
-506720,3000,3539.227663
-536792,3000,3582.535386
-497864,3000,3625.063511
-551024,3000,3667.291354
-519424,3000,3711.282729
-512840,3000,3752.957766
-526848,3000,3794.635723
-451304,3000,3835.377682
-492584,3000,3879.801894
-562672,3000,3923.16411
-532104,3000,3964.193635
-468800,3000,4008.344653
-486848,3000,4050.177983
-507768,3000,4093.55618
-531704,3000,4134.834127
-511872,3000,4178.164307
-453984,3000,4219.384074
-512032,3000,4260.395479
-556192,3000,4303.931449
-483672,3000,4346.55083
-478944,3000,4392.371219
-506984,3000,4435.908373
-485024,3000,4480.311598
-510760,3000,4521.726687
-526752,3000,4565.006468
-513144,3000,4609.114072
-540808,3000,4653.92614
-497216,3000,4695.81207
-539800,3000,4737.726872
-537968,3000,4781.6411
-471608,3000,4822.973063
-527088,3000,4864.646176
-502760,3000,4907.695019
-502000,3000,4952.341269
-470712,3000,4995.186718
-548944,3000,5038.697953
-458064,3000,5081.289634
-526872,3000,5123.15551
-452496,3000,5165.634737
-516216,3000,5209.364881
-497896,3000,5253.449468
-491752,3000,5296.01993
-461808,3000,5339.942072
-499088,3000,5381.339575
-536872,3000,5423.475999
-473944,3000,5465.270838
-449024,3000,5509.372134
-525840,3000,5552.096962
-465944,3000,5595.102458
-473848,3000,5636.669728
-426872,3000,5678.403117
-451592,3000,5722.690374
-510800,3000,5764.846366
-433904,3000,5806.595179
-516816,3000,5848.152949
-471696,3000,5891.427004
-446800,3000,5930.575905
-442960,3000,5972.698163
-459728,3000,6011.810441
-442648,3000,6050.931248
-471872,3000,6179.769533
-475800,3000,6221.229046
-513528,3000,6262.555461
-519952,3000,6303.844575
-545576,3000,6343.565116
-385080,3000,6384.474885
-485664,3000,6424.630129
-468656,3000,6464.843286
-486192,3000,6506.744632
-457656,3000,6548.321566
-479616,3000,6592.645513
-474920,3000,6635.440177
-454744,3000,6678.790413
-464960,3000,6719.410553
-387624,3000,6763.944792
-451920,3000,6809.674618
-441976,3000,6850.161264
-461976,3000,6890.847775
-501408,3000,6931.111795
-479904,3000,6971.858725
-423960,3000,7016.082977
-498848,3000,7058.19459
-469752,3000,7100.468559
-489960,3000,7144.271825
-499648,3000,7187.392052
-457768,3000,7227.820168
-518328,3000,7268.494091
-436640,3000,7309.142778
-458144,3000,7349.473617
-461744,3000,7393.612682
-486696,3000,7435.341102
-455888,3000,7476.326788
-436768,3000,7515.097329
-460584,3000,7553.994707
-472728,3000,7595.072955
-486752,3000,7634.389669
-449736,3000,7671.400599
-454768,3000,7709.617382
-457640,3000,7747.517721
-459568,3000,7786.86498
-448752,3000,7826.715744
-468816,3000,7864.073086
-483728,3000,7902.010606
-413720,3000,7941.45231
-447752,3000,7979.574221
-440656,3000,8017.854366
-489552,3000,8055.045382
-449760,3000,8092.836569
-486144,3000,8134.178426
-465096,3000,8172.629137
-553952,3000,8210.372997
-388840,3000,8247.881931
-518920,3000,8284.69165
-469664,3000,8323.082832
-490544,3000,8361.629892
-458752,3000,8400.175962
-498792,3000,8437.918278
-463560,3000,8476.225105
-474920,3000,8516.573082
-401704,3000,8552.69675
-518544,3000,8590.213584
-473664,3000,8627.754729
-417176,3000,8665.199485
-433864,3000,8702.614859
-425984,3000,8740.572041
-443832,3000,8778.240523
-376832,3000,8816.124954
-450976,3000,8932.824204
-370760,3000,8970.905344
-473768,3000,9009.033885
-448592,3000,9048.018832
-489632,3000,9087.376082
-447776,3000,9127.373408
-417640,3000,9164.4083
-425688,3000,9202.564234
-408368,3000,9239.694428
-490712,3000,9277.319818
-459808,3000,9317.11561
-461072,3000,9355.832486
-462672,3000,9393.09724
-395776,3000,9431.486991
-473928,3000,9470.301304
-458752,3000,9507.293249
-406760,3000,9543.678798
-501816,3000,9582.423839
-457888,3000,9619.057836
-394576,3000,9656.832011
-419776,3000,9695.689137
-432856,3000,9734.143604
-402544,3000,9772.200176
-474856,3000,9809.872804
-446568,3000,9849.81242
-506752,3000,9885.092332
-406016,3000,9923.743202
-441832,3000,9962.234461
-414696,3000,9998.123585
-502816,3000,10037.594253
-457864,3000,10077.520758
-499960,3000,10116.85079
-399656,3000,10155.724853
-487648,3000,10193.06777
-422880,3000,10230.405858
-487824,3000,10269.892402
-442872,3000,10305.694347
-431672,3000,10345.273566
-443872,3000,10382.063005
-450576,3000,10419.265317
-510760,3000,10456.951786
-454016,3000,10494.856426
-441016,3000,10530.902144
-472776,3000,10567.645205
-456648,3000,10604.640376
-437792,3000,10642.317841
-396856,3000,10678.469546
-456080,3000,10717.154961
-467360,3000,10754.854167
-468768,3000,10793.26538
-444480,3000,10832.609311
-460880,3000,10869.499347
-429768,3000,10904.179353
-416608,3000,10941.052716
-412952,3000,10980.142462
-411784,3000,11017.052638
-445688,3000,11051.459575
-402832,3000,11089.52123
-418592,3000,11125.524642
-439696,3000,11161.429448
-485504,3000,11196.983857
-393744,3000,11234.045523
-430808,3000,11270.112362
-409680,3000,11306.554344
-442968,3000,11342.978274
-458936,3000,11377.702014
-417688,3000,11488.516908
-355296,3000,11524.695673
-420984,3000,11562.774029
-464832,3000,11598.922557
-434680,3000,11634.815988
-397904,3000,11668.860706
-446592,3000,11707.182891
-383568,3000,11746.416345
-423016,3000,11782.403925
-418792,3000,11819.889274
-399008,3000,11857.801248
-425984,3000,11895.49477
-418736,3000,11932.721748
-418888,3000,11969.3797
-403856,3000,12006.355529
-422416,3000,12045.494635
-420832,3000,12081.781321
-444808,3000,12119.270003
-422720,3000,12155.826395
-404728,3000,12189.609332
-408896,3000,12227.548594
-471696,3000,12262.983281
-427784,3000,12299.967789
-482704,3000,12335.677976
-394600,3000,12372.501068
-429792,3000,12408.748164
-419824,3000,12445.991444
-388168,3000,12481.646985
-419576,3000,12515.842194
-435672,3000,12550.723561
-435752,3000,12587.406954
-413784,3000,12625.009934
-405656,3000,12662.897999
-388112,3000,12699.550899
-387536,3000,12736.85059
-401920,3000,12774.953401
-431528,3000,12812.211279
-409016,3000,12849.421152
-409528,3000,12885.150373
-388792,3000,12923.100857
-375640,3000,12959.076773
-361640,3000,12995.04657
-406792,3000,13032.763588
-425008,3000,13071.404703
-401928,3000,13105.36291
-400792,3000,13141.466727
-407928,3000,13178.318327
-403480,3000,13216.305405
-442784,3000,13253.899368
-398736,3000,13292.637089
-380744,3000,13329.123141
-421704,3000,13364.649701
-433424,3000,13401.492647
-417312,3000,13437.829527
-467872,3000,13477.245347
-430664,3000,13513.31535
-459568,3000,13548.721683
-440520,3000,13586.899291
-435584,3000,13622.109876
-410576,3000,13658.940468
-389480,3000,13693.710589
-390360,3000,13730.763588
-409712,3000,13766.957476
