#{"t_start": 1676137650.847446, "env_id": null}
r,l,t
2884,3000,17.12226
3340,3000,32.294464
2546,3000,48.391356
2852,3000,63.416293
2920,3000,78.342681
3004,3000,93.872566
2836,3000,109.334995
3148,3000,123.93393
2016,3000,139.197261
2420,3000,154.100398
3138,3000,168.503657
2574,3000,183.224018
2430,3000,197.517326
2776,3000,212.543988
3056,3000,227.270378
2708,3000,242.471566
2472,3000,256.731811
2800,3000,272.293605
2250,3000,287.579708
3282,3000,302.478822
2754,3000,317.812321
3000,3000,332.209989
2714,3000,347.143412
2630,3000,362.076359
2780,3000,376.413978
2136,3000,392.058671
2678,3000,406.952242
2696,3000,421.605162
3062,3000,435.738676
2692,3000,449.858958
2898,3000,464.765273
3218,3000,479.789977
2646,3000,494.769149
2920,3000,509.810174
3214,3000,524.884643
2988,3000,539.615545
3410,3000,554.656853
2830,3000,569.603527
3576,3000,584.772942
3104,3000,600.470856
2670,3000,614.538168
2870,3000,628.874454
3136,3000,643.413501
2964,3000,657.725585
2938,3000,671.992897
3016,3000,686.668389
3532,3000,702.28741
2902,3000,717.281986
2898,3000,732.666434
3026,3000,747.441771
2822,3000,763.278136
2934,3000,778.198922
3162,3000,793.861994
3446,3000,808.764373
2796,3000,823.97851
2922,3000,840.739289
3068,3000,856.243979
3598,3000,872.480169
3326,3000,889.587918
3218,3000,907.286273
2586,3000,925.336477
3268,3000,943.609554
2880,3000,961.856387
2728,3000,980.217925
2950,3000,997.026676
2530,3000,1014.743
3254,3000,1048.84283
3250,3000,1067.63563
2846,3000,1085.723047
3434,3000,1103.840822
2864,3000,1121.589089
2742,3000,1138.963894
3028,3000,1156.305232
3272,3000,1173.327764
3166,3000,1190.90606
3102,3000,1207.513959
3238,3000,1224.435787
3516,3000,1242.078671
3514,3000,1259.0751
3064,3000,1276.724185
2802,3000,1293.944292
3272,3000,1312.009006
3818,3000,1329.126331
2700,3000,1346.777737
3100,3000,1364.200121
3874,3000,1381.995053
3166,3000,1399.564673
3766,3000,1416.971893
3114,3000,1433.664976
3110,3000,1451.464618
3762,3000,1469.198232
3620,3000,1487.604537
3402,3000,1505.367318
3052,3000,1523.23657
2960,3000,1541.091492
3490,3000,1557.627924
2526,3000,1575.441368
3378,3000,1593.050565
2982,3000,1610.212868
3062,3000,1628.05598
3046,3000,1645.283576
3506,3000,1662.872928
2880,3000,1679.976914
