#{"t_start": 1676290674.5674195, "env_id": null}
r,l,t
4636,3000,95.451225
3904,3000,178.620205
4080,3000,262.255713
4426,3000,347.151076
3738,3000,428.089704
4304,3000,515.241688
4282,3000,603.349736
4230,3000,692.964409
5574,3000,781.552055
4544,3000,867.821778
3818,3000,959.967125
4780,3000,1055.453962
5670,3000,1156.002676
4494,3000,1259.544069
4058,3000,1357.238332
4810,3000,1471.604582
3852,3000,1576.354229
4460,3000,1689.746599
4538,3000,1793.311445
4166,3000,1901.497441
4424,3000,2007.299654
3526,3000,2106.952095
4536,3000,2209.754868
4680,3000,2315.458411
3988,3000,2429.428862
3252,3000,2532.488854
4832,3000,2631.472109
4440,3000,2732.470974
3652,3000,2838.192739
3230,3000,2942.023517
4292,3000,3049.016674
4140,3000,3158.614671
4686,3000,3251.831062
3982,3000,3350.062096
2908,3000,3443.52223
4770,3000,3550.840565
3902,3000,3655.363771
3518,3000,3753.727546
4220,3000,3854.682475
3786,3000,3954.874395
3898,3000,4062.878934
4384,3000,4167.984381
4656,3000,4266.551355
4278,3000,4371.797675
4322,3000,4475.039971
4970,3000,4571.225985
5058,3000,4672.739267
4760,3000,4772.706312
4812,3000,4852.633426
3574,3000,4947.60616
3448,3000,5053.796816
3994,3000,5158.835873
4922,3000,5262.522968
4308,3000,5369.89593
4052,3000,5466.184987
4532,3000,5572.120289
4550,3000,5677.692025
3826,3000,5781.755272
3430,3000,5889.178581
3166,3000,5989.209002
3414,3000,6102.429551
4860,3000,6195.094143
4932,3000,6291.800871
3490,3000,6386.369936
3812,3000,6491.061039
4538,3000,6599.174603
4220,3000,8204.613908
2708,3000,8311.464611
3260,3000,8406.496496
4240,3000,8512.72273
4468,3000,8610.609432
5124,3000,8710.43949
4760,3000,8815.489785
4020,3000,8911.744751
4612,3000,9014.138452
5188,3000,9108.777961
4564,3000,9210.474823
4574,3000,9322.705974
4178,3000,9421.683591
4528,3000,9530.275539
4202,3000,9632.266324
3250,3000,9744.006356
4390,3000,9842.995224
4488,3000,9929.584617
4728,3000,10036.1849
4446,3000,10136.235062
4732,3000,10238.648348
4990,3000,10329.782334
4676,3000,10439.404364
3962,3000,10548.204137
3744,3000,10652.654468
3584,3000,10762.318511
4028,3000,10865.80606
5222,3000,10971.370517
4358,3000,11080.359178
5272,3000,11186.908257
4188,3000,11293.446936
4060,3000,11395.946454
4250,3000,11500.916863
4572,3000,11599.259136
3862,3000,11706.912365
4720,3000,11811.735359
5012,3000,11907.824453
4910,3000,12015.657184
3936,3000,12114.806775
3776,3000,12219.018416
3652,3000,12321.976544
4040,3000,12419.36348
5010,3000,12514.141737
4896,3000,12620.086559
4596,3000,12715.035105
4242,3000,12823.913003
4342,3000,12919.971215
5112,3000,13022.575217
4464,3000,13126.092862
3534,3000,13226.851158
2878,3000,13328.116339
5408,3000,13448.076444
4548,3000,13552.882521
4346,3000,13653.0661
4590,3000,13748.744577
3300,3000,13858.648186
4548,3000,13957.02438
3688,3000,14053.005573
4276,3000,14161.097741
3438,3000,14263.322462
3772,3000,14365.350322
3996,3000,14467.437829
3800,3000,14580.000421
5138,3000,14679.792945
4710,3000,14775.389242
3808,3000,14866.909473
4002,3000,14972.01068
4312,3000,16394.768171
4852,3000,16498.407043
5056,3000,16614.500221
3814,3000,16714.932199
4822,3000,16812.446128
4388,3000,16914.49137
4528,3000,17025.047781
4506,3000,17120.569165
4988,3000,17230.773039
5138,3000,17323.647237
4288,3000,17432.7721
4534,3000,17544.278646
4086,3000,17650.426202
3266,3000,17759.489121
4376,3000,17858.692415
2644,3000,17958.122432
3570,3000,18062.950387
3542,3000,18168.495981
4594,3000,18270.420869
5136,3000,18371.04264
3640,3000,18464.075866
4108,3000,18548.474406
4480,3000,18653.078219
4882,3000,18762.690219
4292,3000,18868.420077
4340,3000,18968.513067
4392,3000,19075.987429
4744,3000,19166.588852
4226,3000,19274.126275
4854,3000,19373.650206
4200,3000,19478.382054
4486,3000,19579.602519
2694,3000,19673.681919
4186,3000,19773.168755
4084,3000,19866.052951
5592,3000,19961.294553
4636,3000,20063.567357
5260,3000,20164.414576
3684,3000,20261.147303
4290,3000,20365.773564
4886,3000,20469.301345
4554,3000,20567.889223
3986,3000,20669.654426
4956,3000,20770.37221
4116,3000,20869.236422
4626,3000,20961.298527
4476,3000,21050.820458
5144,3000,21142.154065
4350,3000,21235.447434
5026,3000,21342.654717
4964,3000,21447.571262
3924,3000,21544.590513
5318,3000,21648.033324
4650,3000,21745.44932
5316,3000,21848.336029
4484,3000,21946.496941
4764,3000,22043.623177
5058,3000,22147.080012
3702,3000,22237.496137
4194,3000,22332.55567
