#{"t_start": 1680343372.5666885, "env_id": null}
r,l,t
-596808,3000,51.516473
-579752,3000,102.251103
-598712,3000,157.718446
-588696,3000,211.651833
-577960,3000,265.810887
-575552,3000,318.023466
-598352,3000,379.954103
-599200,3000,438.767648
-598064,3000,493.294175
-600768,3000,548.301574
-620448,3000,607.776765
-561824,3000,663.574436
-531568,3000,718.840891
-559216,3000,775.58354
-564800,3000,827.175339
-592032,3000,883.737595
-560920,3000,940.045416
-575792,3000,994.97551
-562784,3000,1053.815951
-575856,3000,1108.545729
-597552,3000,1163.702338
-581624,3000,1224.471732
-560776,3000,1276.578212
-510568,3000,1331.830074
-595952,3000,1388.531342
-581504,3000,1443.811803
-574368,3000,1497.285092
-554952,3000,1555.053344
-590024,3000,1609.743417
-580416,3000,1663.793436
-522776,3000,1717.4016
-556920,3000,1774.389618
-562416,3000,1831.647224
-605792,3000,1890.055171
-584848,3000,1947.419969
-591328,3000,2010.051109
-594096,3000,2065.682737
-603504,3000,2120.306088
-566792,3000,2173.904406
-557984,3000,2227.918387
-562320,3000,2280.083204
-548456,3000,2338.402719
-558312,3000,2398.102601
-554784,3000,2451.406951
-577976,3000,2508.483599
-600272,3000,2560.558577
-546408,3000,2614.66641
-601160,3000,2669.277301
-607776,3000,2726.83531
-611696,3000,2783.675332
-562976,3000,2841.393559
-584560,3000,2899.152203
-608216,3000,2953.126953
-630656,3000,3009.532004
-610776,3000,3065.538141
-562552,3000,3124.041556
-618656,3000,3178.602904
-548488,3000,3236.171972
-611256,3000,3290.367707
-595048,3000,3349.474641
-574456,3000,3409.301661
-527976,3000,3464.728766
-546032,3000,3524.809397
-563232,3000,3579.915833
-609808,3000,3638.331959
-535744,3000,3695.611428
-586480,3000,3947.751217
-560584,3000,4005.026903
-633272,3000,4059.311016
-556792,3000,4115.07914
-576256,3000,4171.882969
-604672,3000,4231.669407
-554056,3000,4290.817471
-584968,3000,4344.205396
-607104,3000,4400.506707
-556648,3000,4457.054611
-580928,3000,4515.721972
-566992,3000,4572.4732
-597968,3000,4629.134057
-610888,3000,4682.868101
-597296,3000,4741.658117
-603024,3000,4798.636503
-571416,3000,4857.447246
-577968,3000,4912.741783
-603480,3000,4971.495104
-594832,3000,5033.710639
-609672,3000,5089.759145
-610064,3000,5147.060528
-589600,3000,5201.930714
-571432,3000,5257.147898
-564928,3000,5316.323674
-570792,3000,5371.588039
-602936,3000,5429.950079
-521800,3000,5482.785357
-588656,3000,5536.562669
-583504,3000,5593.616586
-582088,3000,5648.850531
-594896,3000,5705.816596
-574520,3000,5759.285613
-597712,3000,5812.687133
-583552,3000,5867.780445
-559184,3000,5925.544276
-564544,3000,5976.12761
-554360,3000,6031.712823
-552560,3000,6086.502878
-558768,3000,6138.993891
-579240,3000,6195.253866
-587912,3000,6251.773898
-548752,3000,6308.478109
-608624,3000,6362.572108
-585448,3000,6416.162789
-561568,3000,6471.417045
-552256,3000,6524.43001
-593976,3000,6581.077185
-597512,3000,6635.988716
-594760,3000,6691.665131
-558056,3000,6744.907928
-545896,3000,6800.537742
-583984,3000,6856.996557
-579120,3000,6911.937642
-558000,3000,6964.907256
-542656,3000,7018.085338
-573360,3000,7077.704855
-540288,3000,7137.788652
-611640,3000,7192.741388
-594344,3000,7249.679154
-575328,3000,7306.506912
-625728,3000,7359.125764
-562192,3000,7410.78353
-552912,3000,7464.162887
-535888,3000,7518.411873
-575112,3000,7569.404755
-566280,3000,7621.136192
-608712,3000,7772.845319
-547408,3000,7823.198414
-574360,3000,7874.062832
-600672,3000,7924.331317
-595832,3000,7975.742807
-528584,3000,8025.831647
-575672,3000,8078.053692
-560576,3000,8132.053758
-592160,3000,8184.497963
-590656,3000,8234.558325
-592800,3000,8285.048183
-577888,3000,8334.471272
-538552,3000,8383.388861
-598584,3000,8432.790712
-597024,3000,8483.784768
-514296,3000,8534.177689
-572544,3000,8587.308844
-517896,3000,8632.433987
-577320,3000,8682.039067
-557440,3000,8731.498203
-560544,3000,8786.038635
-539704,3000,8834.92408
-567528,3000,8883.617145
-517304,3000,8936.910232
-548576,3000,8988.095953
-572392,3000,9039.773268
-553752,3000,9091.000887
-566464,3000,9141.003411
-544344,3000,9193.685895
-573552,3000,9244.81058
-525464,3000,9298.521695
-585088,3000,9347.618287
-541800,3000,9400.851152
-603824,3000,9450.303868
-527016,3000,9504.336339
-539544,3000,9553.014672
-583000,3000,9604.521948
-604008,3000,9652.688272
-561696,3000,9701.970918
-560904,3000,9752.265242
-558096,3000,9804.365142
-564448,3000,9856.616112
-568464,3000,9909.586586
-573016,3000,9960.628904
-587408,3000,10007.948516
-531960,3000,10055.243309
-551096,3000,10108.570526
-556320,3000,10157.051173
-538528,3000,10206.573984
-521696,3000,10253.895601
-539056,3000,10303.305561
-545520,3000,10357.438013
-549632,3000,10406.961018
-527336,3000,10457.772285
-555536,3000,10509.203444
-540408,3000,10559.911376
-511472,3000,10611.514244
-552808,3000,10660.379224
-526464,3000,10707.827472
-520480,3000,10757.935797
-524232,3000,10807.95907
-505944,3000,10853.504642
-520504,3000,10906.969372
-527664,3000,10962.219636
-529864,3000,11009.417197
-566816,3000,11061.427967
-563480,3000,11112.569563
-503208,3000,11240.887887
-491632,3000,11292.708238
-519120,3000,11344.07215
-510488,3000,11394.575694
-528464,3000,11444.868225
-546600,3000,11496.4962
-541040,3000,11547.379953
-546952,3000,11599.726376
-512192,3000,11650.363099
-516920,3000,11701.043055
-527016,3000,11749.149881
-526664,3000,11802.848792
-543848,3000,11854.570586
-511648,3000,11907.175163
-508528,3000,11958.213242
-542584,3000,12013.687614
-525560,3000,12065.595577
-587400,3000,12117.770284
-537200,3000,12168.898733
-534224,3000,12217.479551
-527552,3000,12269.57584
-528176,3000,12320.988193
-546904,3000,12372.51713
-530200,3000,12424.823024
-496592,3000,12479.293682
-492104,3000,12531.151458
