#{"t_start": 1676289928.2127607, "env_id": null}
r,l,t
2454,3000,38.819565
2372,3000,74.861969
2746,3000,110.525211
2330,3000,144.623443
2806,3000,180.213947
2496,3000,215.88512
2686,3000,253.717705
2508,3000,287.622158
3168,3000,318.452676
2490,3000,352.926456
2214,3000,386.248769
2800,3000,418.482246
2854,3000,451.382872
2810,3000,485.552449
2002,3000,521.51506
2130,3000,557.508839
2598,3000,589.884779
2656,3000,625.158674
2764,3000,657.383934
2662,3000,690.61808
1776,3000,724.859033
1834,3000,756.366273
1626,3000,789.161242
2228,3000,820.989442
2966,3000,856.831748
2518,3000,887.823204
2672,3000,920.778696
2442,3000,953.834466
1570,3000,988.673178
2936,3000,1021.439101
2942,3000,1053.300356
2684,3000,1089.02726
2582,3000,1119.37764
2454,3000,1152.334627
2700,3000,1185.417858
3028,3000,1220.241055
2614,3000,1254.521282
2006,3000,1289.247223
2602,3000,1322.921894
2740,3000,1356.621592
2482,3000,1389.018167
3424,3000,1425.685334
2710,3000,1461.777593
3154,3000,1496.496825
2158,3000,1529.977152
3382,3000,1561.29404
3286,3000,1591.354584
2960,3000,1625.916192
3170,3000,1659.099859
2556,3000,1691.39078
2738,3000,1726.807513
3108,3000,1761.82924
2948,3000,1798.881741
3356,3000,1839.71236
2284,3000,1882.917386
2602,3000,1919.982678
2724,3000,1963.471464
2386,3000,2008.591565
2968,3000,2050.867496
3010,3000,2092.295729
3662,3000,2131.775061
3934,3000,2176.052065
3702,3000,2218.676862
3642,3000,2259.714088
3260,3000,2301.783483
3066,3000,2347.273943
3552,3000,2848.358901
3142,3000,2893.820526
2820,3000,2937.877746
2686,3000,2980.990027
3108,3000,3027.329197
3330,3000,3070.553046
3340,3000,3114.112068
3586,3000,3157.71072
3360,3000,3201.826236
3866,3000,3239.883182
2154,3000,3272.563199
2830,3000,3314.916745
3308,3000,3355.170137
3336,3000,3400.622375
3546,3000,3441.345439
3420,3000,3484.436686
2674,3000,3528.306754
3326,3000,3568.505517
2726,3000,3613.922647
3346,3000,3650.969586
3006,3000,3689.347697
3444,3000,3732.565649
3536,3000,3775.717022
2752,3000,3809.785849
3716,3000,3851.976628
2954,3000,3896.247437
3158,3000,3936.788784
3908,3000,3978.841837
3378,3000,4017.854897
3504,3000,4054.058582
2944,3000,4090.526449
3610,3000,4134.042635
2990,3000,4172.407893
3678,3000,4212.698474
3608,3000,4248.300059
3396,3000,4287.234998
3504,3000,4327.658581
3416,3000,4368.405406
3302,3000,4404.80411
3752,3000,4444.976351
3712,3000,4483.8915
3336,3000,4522.519175
3396,3000,4564.337372
3368,3000,4600.243802
3232,3000,4642.487384
3876,3000,4681.547495
3238,3000,4720.036802
4358,3000,4760.512516
3476,3000,4798.750173
3624,3000,4840.936603
3884,3000,4880.654109
4024,3000,4921.728781
3582,3000,4962.512652
2980,3000,5005.007869
3802,3000,5043.461928
4060,3000,5082.787333
3782,3000,5118.751568
3702,3000,5153.470483
4114,3000,5190.760382
4130,3000,5228.61463
3706,3000,5269.650197
4004,3000,5308.258977
3776,3000,5346.942428
4216,3000,5385.173671
3810,3000,5422.413883
3744,3000,5456.228369
3836,3000,5492.975045
3556,3000,5686.958024
3358,3000,5725.791344
3656,3000,5760.46169
3736,3000,5797.077105
4534,3000,5837.175498
3924,3000,5877.588176
4292,3000,5916.903329
4206,3000,5954.927987
3596,3000,5997.325547
4398,3000,6038.596593
3910,3000,6078.834331
3718,3000,6116.805151
3862,3000,6154.591673
4318,3000,6197.13517
4208,3000,6235.511275
3880,3000,6273.591383
3330,3000,6313.340272
4458,3000,6348.636896
3990,3000,6389.88178
3472,3000,6431.073313
4612,3000,6473.610429
4418,3000,6513.224027
4614,3000,6552.77853
3628,3000,6590.532687
4358,3000,6626.436767
4374,3000,6665.950019
4100,3000,6698.711781
4064,3000,6736.717281
3968,3000,6772.387426
3664,3000,6813.373775
4492,3000,6849.142543
4006,3000,6887.878194
4112,3000,6927.094655
4354,3000,6963.827348
4324,3000,6999.346687
3780,3000,7037.393239
3908,3000,7078.563722
4324,3000,7117.438277
4384,3000,7154.950535
3692,3000,7195.154676
4022,3000,7232.951163
4508,3000,7267.409042
4484,3000,7304.541219
4850,3000,7338.901006
4104,3000,7378.039228
4476,3000,7419.274518
3878,3000,7456.567506
3280,3000,7493.467526
3950,3000,7526.348366
4064,3000,7563.879863
4152,3000,7605.150753
4374,3000,7639.106581
4728,3000,7674.931898
4330,3000,7714.831367
4340,3000,7746.289984
4248,3000,7779.002845
4550,3000,7819.150913
4892,3000,7857.831732
