#{"t_start": 1676274039.9864075, "env_id": null}
r,l,t
6102,3000,38.953826
6312,3000,72.238194
6096,3000,107.645595
6308,3000,139.792824
6172,3000,171.973423
6454,3000,204.657082
5548,3000,240.348423
5764,3000,276.554511
5924,3000,313.076821
6166,3000,348.510928
6494,3000,387.468627
6546,3000,423.821119
6984,3000,461.182035
6970,3000,498.56041
6562,3000,535.241601
6044,3000,574.190149
6318,3000,613.857113
6374,3000,653.381124
6502,3000,693.46794
5994,3000,733.412554
6316,3000,773.22552
6420,3000,815.661203
6742,3000,853.132274
7136,3000,891.396168
6132,3000,930.026745
6360,3000,969.203327
6694,3000,1007.544864
6434,3000,1047.033799
5886,3000,1086.397449
6812,3000,1124.945004
6802,3000,1162.510267
6188,3000,1202.717836
6878,3000,1242.663375
6186,3000,1283.944398
6744,3000,1322.672596
6570,3000,1366.164439
5724,3000,1404.755175
6716,3000,1442.92467
6576,3000,1481.036386
6230,3000,1519.435321
6716,3000,1556.474754
6790,3000,1598.124161
6878,3000,1639.727721
6522,3000,1676.609766
6080,3000,1717.290271
6340,3000,1755.336513
6674,3000,1793.02264
5984,3000,1831.057458
5900,3000,1869.635995
5862,3000,1907.897497
6496,3000,1946.662689
6642,3000,1985.622096
5630,3000,2022.425452
6036,3000,2060.085311
5910,3000,2098.545586
6904,3000,2135.59291
5834,3000,2175.911399
6298,3000,2215.482294
5528,3000,2251.351153
5584,3000,2293.364537
6898,3000,2331.777897
6206,3000,2370.531571
5816,3000,2411.816339
5792,3000,2449.651318
5834,3000,2487.242952
6816,3000,2525.261306
6832,3000,2771.652837
7120,3000,2809.74189
6570,3000,2847.103393
5720,3000,2884.804186
5842,3000,2924.796019
6234,3000,2962.93155
6140,3000,3000.538973
5950,3000,3036.67631
6748,3000,3077.805766
6128,3000,3114.966198
5564,3000,3153.47772
5332,3000,3191.251372
6214,3000,3231.355506
5922,3000,3270.781458
5536,3000,3310.575843
6312,3000,3350.949268
5724,3000,3388.393395
6930,3000,3429.357035
6160,3000,3465.81694
