#{"t_start": 1676138477.5529783, "env_id": null}
r,l,t
17370,3000,118.83054
18350,3000,239.914441
17806,3000,359.395143
17910,3000,471.896388
17934,3000,589.007405
18558,3000,712.385971
18490,3000,835.473666
17934,3000,953.733444
17754,3000,1068.600034
18046,3000,1186.531682
17886,3000,1298.475718
17898,3000,1412.231961
17540,3000,1522.790149
18128,3000,1645.124398
18168,3000,1761.98263
17798,3000,1877.705276
17508,3000,1989.653879
18830,3000,2106.270259
17460,3000,2227.600478
18410,3000,2348.781929
18204,3000,2464.541131
17446,3000,2582.189352
17706,3000,2700.659547
17832,3000,2821.642236
17238,3000,2932.54991
17726,3000,3051.051655
18144,3000,3166.839506
17990,3000,3287.479277
16892,3000,3406.018497
18400,3000,3522.743262
18328,3000,3639.870531
17604,3000,3758.919842
18064,3000,3873.918569
18404,3000,3996.145046
18050,3000,4111.892466
17972,3000,4231.231072
18230,3000,4349.748538
18320,3000,4469.765359
17722,3000,4589.439707
18728,3000,4707.180987
18198,3000,4821.784109
17814,3000,4938.346622
17716,3000,5051.769847
18544,3000,5165.667892
18042,3000,5277.017399
18650,3000,5394.659598
18162,3000,5515.008934
17356,3000,5631.386595
18228,3000,5750.411818
17646,3000,5869.47595
17840,3000,5988.375232
17828,3000,6109.544516
17002,3000,6226.236442
17424,3000,6346.583457
17630,3000,6466.832945
16368,3000,6589.579705
17016,3000,6700.814026
17024,3000,6825.331305
17674,3000,6947.101785
16920,3000,7067.998883
17084,3000,7185.271503
17760,3000,7303.822988
17910,3000,7422.83329
18170,3000,7537.556123
17286,3000,7653.010446
17798,3000,7769.81183
17866,3000,8054.16884
17168,3000,8171.724897
17690,3000,8288.760337
17490,3000,8405.133633
16686,3000,8517.737321
16984,3000,8630.527951
17910,3000,8747.843885
18180,3000,8860.623702
17638,3000,8977.438372
17520,3000,9090.691816
18560,3000,9207.82022
18498,3000,9326.842746
18330,3000,9443.391917
17714,3000,9564.439881
17674,3000,9677.847331
17696,3000,9800.147718
17830,3000,9916.574637
17854,3000,10036.999707
17652,3000,10155.625963
18426,3000,10267.462726
16296,3000,10378.02145
17028,3000,10489.631355
17062,3000,10602.390521
17212,3000,10722.472975
17568,3000,10845.42865
17392,3000,10969.940863
17054,3000,11098.831875
18356,3000,11215.354911
17538,3000,11329.782945
18096,3000,11442.532389
17846,3000,11562.150681
17016,3000,11677.156557
17340,3000,11795.626008
16852,3000,11913.133931
16844,3000,12032.92848
16924,3000,12150.197532
17864,3000,12267.424803
17454,3000,12385.183735
16292,3000,12507.885523
17720,3000,12627.650365
17118,3000,12743.845327
18040,3000,12871.291815
17084,3000,12995.389723
17948,3000,13122.587669
16544,3000,13241.42488
18064,3000,13364.621922
17228,3000,13481.722253
17276,3000,13598.610595
17892,3000,13717.41635
17778,3000,13835.106298
17666,3000,13947.17828
17100,3000,14064.967601
16810,3000,14192.197307
17344,3000,14312.995136
16814,3000,14431.273176
17634,3000,14555.750504
17188,3000,14678.92364
18154,3000,14803.417857
16844,3000,14922.438468
16326,3000,15041.521187
16982,3000,15164.255479
17438,3000,15289.309316
16902,3000,15410.235399
16752,3000,15522.094373
16826,3000,15634.997017
17222,3000,15746.153087
17668,3000,15859.905111
17244,3000,16138.548529
17356,3000,16256.031518
17218,3000,16379.584662
16130,3000,16507.62942
16914,3000,16625.882568
17046,3000,16745.12963
16644,3000,16866.984802
17062,3000,16987.514753
16544,3000,17108.749776
17280,3000,17229.829792
16754,3000,17352.5312
16744,3000,17475.751894
16558,3000,17595.294649
17192,3000,17712.747292
16486,3000,17829.811246
16010,3000,17949.629397
16818,3000,18068.231936
16526,3000,18187.432378
16440,3000,18309.366999
17012,3000,18425.649872
17184,3000,18548.407405
16946,3000,18670.773808
17612,3000,18783.763388
15960,3000,18905.84035
16410,3000,19022.561738
17160,3000,19142.525546
16448,3000,19260.37072
16316,3000,19383.984089
16622,3000,19502.097784
16842,3000,19620.165854
16912,3000,19742.797565
16720,3000,19867.704358
15758,3000,19989.653132
16662,3000,20116.296359
17034,3000,20235.807679
16498,3000,20358.570746
16452,3000,20480.123039
16870,3000,20598.485634
17622,3000,20715.81899
18274,3000,20832.742346
18434,3000,20950.413246
17272,3000,21064.245281
16936,3000,21180.635564
