#{"t_start": 1676274039.970715, "env_id": null}
r,l,t
10910,3000,51.629542
10904,3000,97.654812
10674,3000,143.75253
10904,3000,186.439154
11572,3000,230.797917
11526,3000,276.555906
10536,3000,325.130377
10510,3000,375.977535
11636,3000,425.300686
10796,3000,475.654397
10666,3000,523.719941
10304,3000,573.345757
10608,3000,625.714909
10648,3000,676.762988
10918,3000,727.439273
10414,3000,778.871006
11190,3000,829.874285
11164,3000,883.151289
10200,3000,932.894431
11220,3000,982.930601
11538,3000,1036.135674
10590,3000,1088.576623
11150,3000,1142.843821
10348,3000,1190.872124
11270,3000,1243.031406
10402,3000,1290.713773
9600,3000,1339.266734
10442,3000,1390.076615
11396,3000,1443.587513
11786,3000,1497.202919
10908,3000,1548.407695
10646,3000,1599.286805
11186,3000,1651.628493
10046,3000,1704.469186
10708,3000,1756.000329
9900,3000,1808.188849
10440,3000,1858.660486
10352,3000,1908.053873
10524,3000,1956.821341
10344,3000,2006.83675
11556,3000,2056.566282
10406,3000,2108.033963
9780,3000,2158.595747
10742,3000,2208.324049
10906,3000,2258.869045
10182,3000,2306.119139
10126,3000,2354.971424
10794,3000,2402.567568
10416,3000,2456.678369
10488,3000,2504.926617
10462,3000,2554.11432
10680,3000,2601.671078
10204,3000,2650.520171
10622,3000,2701.283409
10592,3000,2748.928888
10572,3000,2800.215718
10148,3000,2851.175391
10174,3000,2899.504484
11216,3000,2947.356477
11422,3000,2997.046748
10682,3000,3046.237266
9924,3000,3091.459119
9406,3000,3138.917487
10264,3000,3188.382641
10540,3000,3242.340486
10776,3000,3292.950905
11556,3000,3485.947668
10292,3000,3536.248549
10846,3000,3585.351007
10276,3000,3635.927743
9838,3000,3689.988202
10642,3000,3740.963487
9274,3000,3794.027682
10388,3000,3845.186398
9470,3000,3894.587229
11010,3000,3948.791087
9724,3000,3999.893929
10300,3000,4049.492203
10450,3000,4102.003558
9898,3000,4153.887718
10254,3000,4204.444006
10236,3000,4253.437711
10204,3000,4301.352341
11050,3000,4350.048791
10492,3000,4403.141055
9750,3000,4451.693818
10496,3000,4502.475758
9862,3000,4552.830313
10956,3000,4602.244748
10944,3000,4652.339629
10864,3000,4704.579124
9888,3000,4757.006839
9516,3000,4806.544196
10552,3000,4856.286625
11430,3000,4905.985011
11012,3000,4955.375148
10574,3000,5005.004859
9964,3000,5055.26571
11022,3000,5106.959842
10194,3000,5156.829826
10602,3000,5206.220838
10836,3000,5255.079899
9672,3000,5299.399511
11128,3000,5345.606908
10656,3000,5392.455168
11090,3000,5439.501317
10532,3000,5487.007771
11256,3000,5541.370155
11212,3000,5593.451725
10598,3000,5641.492741
11340,3000,5690.970534
10700,3000,5742.065399
11122,3000,5791.652464
9798,3000,5840.913359
10780,3000,5892.160096
10522,3000,5940.299006
12374,3000,5989.762023
11138,3000,6038.234004
11060,3000,6087.513098
10722,3000,6133.937384
11974,3000,6181.032456
11296,3000,6229.883268
11130,3000,6278.082869
11798,3000,6326.900301
10042,3000,6371.632116
10928,3000,6416.021373
11288,3000,6462.061449
10568,3000,6506.015837
11356,3000,6552.321415
11980,3000,6601.71979
10928,3000,6650.02286
10872,3000,6696.814446
11096,3000,6746.368473
11784,3000,6910.44893
10772,3000,6957.849511
10874,3000,7008.165995
11808,3000,7057.064496
10966,3000,7107.583348
10880,3000,7153.668452
10994,3000,7201.20221
11022,3000,7247.692482
11430,3000,7296.432882
11662,3000,7343.476478
12724,3000,7388.346968
11544,3000,7438.276597
11080,3000,7483.38369
12280,3000,7531.209699
10560,3000,7575.705937
12186,3000,7623.018736
11560,3000,7670.819883
10878,3000,7718.214486
11306,3000,7763.260544
11208,3000,7810.807723
11218,3000,7859.00686
10994,3000,7908.604471
11228,3000,7955.265629
11590,3000,8004.479159
10772,3000,8054.928574
11680,3000,8101.628686
11382,3000,8146.366603
11116,3000,8189.712432
11924,3000,8234.176893
11734,3000,8281.086433
12052,3000,8327.343444
12018,3000,8373.314423
11484,3000,8421.039258
12106,3000,8469.006847
11544,3000,8516.036455
11752,3000,8563.944015
11084,3000,8609.566115
11830,3000,8657.860944
11264,3000,8704.128011
11660,3000,8751.049395
11838,3000,8800.266392
11628,3000,8849.598368
10356,3000,8893.364919
11660,3000,8937.961236
12364,3000,8986.494319
11518,3000,9031.914424
11544,3000,9080.106473
11776,3000,9125.848894
12388,3000,9175.183528
12604,3000,9221.645018
10844,3000,9267.589235
12116,3000,9314.486106
11192,3000,9360.630372
12086,3000,9405.303215
11588,3000,9453.90602
11606,3000,9498.396177
12150,3000,9543.940702
11660,3000,9588.138172
12158,3000,9634.227165
11308,3000,9679.446414
12480,3000,9726.105741
12150,3000,9768.658861
11858,3000,9815.124046
11740,3000,9861.093482
11484,3000,9906.273002
11434,3000,9951.79838
12636,3000,9999.678681
11646,3000,10146.805769
11240,3000,10190.314751
11876,3000,10238.86944
12248,3000,10287.546767
11646,3000,10332.145292
12098,3000,10375.558945
12000,3000,10421.821352
12422,3000,10468.047255
11902,3000,10512.358499
11302,3000,10561.894934
11784,3000,10607.686411
11252,3000,10656.807375
11630,3000,10704.393469
11490,3000,10749.602852
12636,3000,10794.413884
11574,3000,10839.149006
12602,3000,10884.854807
12260,3000,10930.456284
13176,3000,10976.709368
12316,3000,11021.097903
12224,3000,11065.878989
12204,3000,11112.583854
12316,3000,11159.011202
12596,3000,11202.313097
12584,3000,11248.085304
12368,3000,11289.499719
12762,3000,11334.968758
11752,3000,11379.18461
12108,3000,11420.897789
13344,3000,11464.818733
12114,3000,11509.402115
11254,3000,11552.147058
12302,3000,11597.369364
12262,3000,11646.408527
11670,3000,11693.625573
12062,3000,11739.605686
12206,3000,11785.419801
12578,3000,11829.645299
11898,3000,11874.323762
12480,3000,11924.183113
11970,3000,11969.261731
13254,3000,12016.596295
12966,3000,12060.074141
12056,3000,12104.406001
12392,3000,12148.060068
12618,3000,12195.557192
11936,3000,12236.581014
12540,3000,12280.125059
11882,3000,12327.151588
11220,3000,12372.42843
11902,3000,12416.683283
11396,3000,12463.546295
11758,3000,12510.216595
12432,3000,12556.938544
12194,3000,12601.208721
12392,3000,12645.824185
11856,3000,12692.020799
12230,3000,12737.042512
12678,3000,12784.320802
11904,3000,12826.416829
12446,3000,12870.9268
12624,3000,12914.842909
12592,3000,12959.761796
11542,3000,13001.832274
11560,3000,13047.22139
11644,3000,13091.496747
11994,3000,13227.79417
12864,3000,13271.905564
11708,3000,13315.971827
12708,3000,13357.364394
12198,3000,13399.237784
12506,3000,13443.717596
11890,3000,13489.535744
11754,3000,13532.838641
12416,3000,13577.228813
12430,3000,13620.778416
11986,3000,13666.677184
12662,3000,13712.977982
13108,3000,13760.360022
12460,3000,13802.447539
12974,3000,13847.420026
12866,3000,13892.940874
13506,3000,13940.140105
12372,3000,13983.868689
11776,3000,14029.163327
12464,3000,14073.053549
12054,3000,14119.427876
12084,3000,14165.124018
12348,3000,14210.072551
12906,3000,14256.166786
11614,3000,14298.630402
12906,3000,14341.663173
13214,3000,14386.981655
12976,3000,14431.028624
12250,3000,14476.424733
12954,3000,14521.345088
12968,3000,14559.565269
12566,3000,14600.518079
12530,3000,14645.82587
11844,3000,14686.667423
12502,3000,14728.078126
12844,3000,14773.801535
12770,3000,14816.636943
13056,3000,14858.965998
13670,3000,14901.650889
13450,3000,14942.09971
13496,3000,14987.36414
12604,3000,15038.540822
13012,3000,15090.738955
12830,3000,15141.366734
13034,3000,15191.56338
12930,3000,15241.831923
12190,3000,15295.206465
12826,3000,15344.693178
12410,3000,15392.702937
12652,3000,15440.178799
12776,3000,15494.6931
14002,3000,15544.687305
12098,3000,15596.701129
13064,3000,15647.497478
12606,3000,15701.729958
13920,3000,15754.600175
13590,3000,15807.472589
12342,3000,15859.613952
