#{"t_start": 1680343462.758416, "env_id": null}
r,l,t
-432664,3000,192.409493
-447648,3000,377.930889
-458576,3000,557.838489
-417472,3000,743.46271
-433544,3000,928.557953
-425472,3000,1108.742311
-486336,3000,1294.108296
-444024,3000,1463.506261
-464024,3000,1646.477961
-454480,3000,1821.035691
-442416,3000,2006.952404
-446744,3000,2183.749252
-460616,3000,2370.985319
-421872,3000,2549.997519
-448272,3000,2723.298148
-448768,3000,2904.573073
-434616,3000,3087.375506
-438520,3000,3260.484897
-431368,3000,3440.411602
-459752,3000,3621.319701
-432392,3000,3796.970029
-419056,3000,3984.968769
-465864,3000,4165.412176
-464656,3000,4348.368656
-440592,3000,4527.74583
-447352,3000,4712.594168
-421832,3000,4889.660992
-452856,3000,5078.919357
-458672,3000,5256.927628
-417888,3000,5438.596624
-446720,3000,5617.269556
-436792,3000,5804.315202
-449336,3000,5990.206333
-439384,3000,6171.272514
-414928,3000,6352.754912
-435296,3000,6536.791265
-465992,3000,6712.463929
-435336,3000,6894.767077
-435224,3000,7075.705241
-428616,3000,7249.907767
-445536,3000,7433.604149
-438376,3000,7615.365199
-407792,3000,7789.784586
-462544,3000,7956.996602
-421280,3000,8128.59171
-431864,3000,8296.093357
-439544,3000,8470.331151
-480248,3000,8636.054213
-454816,3000,8807.411149
-442232,3000,8974.746464
-430312,3000,9153.85552
-423016,3000,9322.790221
-452664,3000,9489.953224
-462872,3000,9662.535661
-449232,3000,9831.634444
-429408,3000,10006.650817
-448472,3000,10177.346957
-441192,3000,10353.250439
-449536,3000,10523.015832
-463184,3000,10698.726272
-437704,3000,10876.080162
-458680,3000,11051.025516
-463984,3000,11229.761144
-448752,3000,11393.624108
-452832,3000,11571.163034
-445696,3000,11744.28936
-439424,3000,12334.639901
-451648,3000,12506.347044
-468736,3000,12683.629521
-441232,3000,12852.690593
-474944,3000,13019.175347
-470848,3000,13187.409517
-441392,3000,13352.769007
-457776,3000,13509.623224
-461936,3000,13678.846437
-451440,3000,13849.867799
-445896,3000,14017.897125
-459624,3000,14183.392601
-451296,3000,14357.378666
-416952,3000,14539.012578
-440992,3000,14718.596796
-425520,3000,14899.097789
-447472,3000,15068.916311
-438168,3000,15230.601628
-449200,3000,15398.813911
-449280,3000,15550.538705
-431296,3000,15697.535679
-446424,3000,15850.372929
-420328,3000,15987.885376
-437408,3000,16124.100577
-446320,3000,16253.041284
-460760,3000,16385.3195
-440376,3000,16518.93917
-414888,3000,16662.485028
-440408,3000,16793.804843
-443800,3000,16927.921367
-449208,3000,17062.708902
-433464,3000,17200.201096
-404520,3000,17341.263153
-459912,3000,17479.349762
-440168,3000,17618.610401
-451936,3000,17759.479471
-439176,3000,17893.705408
-444400,3000,18026.892452
-444616,3000,18161.231954
-460616,3000,18299.247355
-446616,3000,18437.025119
-440872,3000,18568.946528
-421520,3000,18709.084839
-482064,3000,18839.42651
-468648,3000,18972.834299
-414848,3000,19111.236914
-478136,3000,19244.792658
-425800,3000,19383.260649
-464784,3000,19513.421755
-456464,3000,19650.630878
-420120,3000,19790.398146
-420008,3000,19929.588823
-428032,3000,20073.084497
-444872,3000,20207.100661
-457424,3000,20339.67154
-429952,3000,20473.518932
-437432,3000,20606.198492
-430512,3000,20748.615637
-406672,3000,20891.11673
-425768,3000,21029.104687
-455704,3000,21164.110206
-451408,3000,21292.643898
-435256,3000,21427.004742
-458568,3000,21560.499072
-411936,3000,21693.542838
-460632,3000,21825.26088
-423208,3000,21965.282955
-452872,3000,22430.452471
-431336,3000,22565.000451
