#{"t_start": 1676138537.8113503, "env_id": null}
r,l,t
11352,3000,88.945876
12376,3000,171.984549
11786,3000,254.660968
12246,3000,335.054167
11034,3000,416.387665
11556,3000,496.772951
11554,3000,579.467258
11316,3000,666.820637
11796,3000,752.391187
12122,3000,834.627991
11836,3000,917.68446
12316,3000,1003.920439
11158,3000,1087.5023
11606,3000,1167.872174
11384,3000,1253.342745
12918,3000,1336.245962
11398,3000,1416.525927
11396,3000,1498.526285
11772,3000,1581.806278
11876,3000,1662.033199
12266,3000,1750.172055
11320,3000,1838.333778
11772,3000,1919.835211
11914,3000,2005.376248
11668,3000,2085.570731
11556,3000,2163.830923
11668,3000,2248.821338
12012,3000,2338.931729
11280,3000,2424.27118
11690,3000,2503.747961
12010,3000,2587.422526
11486,3000,2672.099516
11690,3000,2754.496305
11306,3000,2843.140322
12148,3000,2924.563716
11496,3000,3006.760032
12650,3000,3091.412705
11490,3000,3176.304739
12010,3000,3258.092341
11954,3000,3345.909625
12296,3000,3428.51053
11650,3000,3512.720761
12142,3000,3595.474545
11270,3000,3679.201948
11258,3000,3758.343354
12562,3000,3845.460835
11954,3000,3931.294703
12196,3000,4014.443362
12104,3000,4104.752758
11856,3000,4189.40502
10844,3000,4275.902412
10976,3000,4361.852218
11416,3000,4446.713902
11456,3000,4528.686839
11952,3000,4612.407268
12168,3000,4700.335808
11186,3000,4786.614044
11418,3000,4869.16228
10954,3000,4956.268559
11964,3000,5037.988605
12154,3000,5115.073002
12288,3000,5199.201464
12634,3000,5279.497868
12048,3000,5359.033015
10586,3000,5443.05471
11538,3000,5528.756473
11522,3000,5848.159322
12006,3000,5932.881962
11454,3000,6011.961144
12260,3000,6101.04053
11884,3000,6186.444101
12358,3000,6273.005923
11406,3000,6365.319062
11300,3000,6453.174567
10942,3000,6538.707845
11762,3000,6623.346658
11382,3000,6713.04595
11210,3000,6798.425699
11140,3000,6880.287742
11516,3000,6964.422955
11500,3000,7046.174535
10622,3000,7126.439303
11286,3000,7210.491068
11390,3000,7296.086805
11660,3000,7384.366308
11150,3000,7465.179369
10586,3000,7549.281655
12200,3000,7630.658215
11354,3000,7713.458728
11764,3000,7800.185121
11072,3000,7886.310348
11508,3000,7969.540166
10360,3000,8054.943211
13052,3000,8144.436992
11756,3000,8230.35786
11214,3000,8313.027587
11636,3000,8397.645315
10636,3000,8486.989217
11538,3000,8569.243563
10160,3000,8652.248542
11194,3000,8734.057039
10920,3000,8819.683614
10674,3000,8899.581383
12486,3000,8983.617717
10916,3000,9067.566548
10898,3000,9152.779688
11574,3000,9232.49027
11180,3000,9320.920557
12018,3000,9404.913117
13070,3000,9485.240934
11490,3000,9562.974148
11178,3000,9647.058847
13134,3000,9731.054842
11994,3000,9811.227618
11450,3000,9895.316102
12436,3000,9973.138658
12590,3000,10052.992814
12280,3000,10134.806596
12342,3000,10218.312846
11782,3000,10302.394666
12180,3000,10391.089238
12108,3000,10474.907293
11296,3000,10558.379398
10870,3000,10641.370553
11062,3000,10718.782888
12128,3000,10803.524518
11306,3000,10884.665925
12458,3000,10966.956712
11596,3000,11052.805486
11730,3000,11134.580299
12126,3000,11221.248875
12834,3000,11302.743639
11770,3000,11382.552436
12678,3000,11659.120771
12060,3000,11741.322681
11970,3000,11822.836455
12198,3000,11909.541795
12538,3000,11990.306547
13156,3000,12074.675851
12194,3000,12156.161894
12810,3000,12235.490277
12946,3000,12321.312601
