#{"t_start": 1676274292.8819768, "env_id": null}
r,l,t
13826,3000,130.418781
13692,3000,253.574263
13654,3000,377.777884
14192,3000,507.42158
13936,3000,636.063639
14062,3000,760.802052
12590,3000,890.469478
14170,3000,1006.814828
13206,3000,1135.360554
13772,3000,1257.077537
14110,3000,1384.190627
13658,3000,1507.558168
13562,3000,1634.182456
14658,3000,1754.4905
13990,3000,1871.510759
13374,3000,1989.983028
13862,3000,2108.974513
13764,3000,2225.80025
13980,3000,2348.222429
13444,3000,2468.869141
14292,3000,2585.30449
14640,3000,2711.046609
13184,3000,2831.818673
13754,3000,2954.62537
13918,3000,3079.439942
13904,3000,3205.021488
14876,3000,3323.587579
13406,3000,3452.314734
13338,3000,3574.252113
14522,3000,3695.255945
13894,3000,3813.657451
13682,3000,3938.972644
13986,3000,4063.366543
13814,3000,4185.790636
14616,3000,4310.933973
13950,3000,4434.738369
13092,3000,4554.182095
13842,3000,4673.593479
14620,3000,4790.894369
13790,3000,4911.288795
13674,3000,5039.444368
14222,3000,5163.545981
14632,3000,5286.964476
13494,3000,5407.550231
13994,3000,5529.632522
14802,3000,5653.078701
13702,3000,5776.75114
12486,3000,5894.418471
13134,3000,6016.333132
13880,3000,6138.88602
14094,3000,6264.776041
14756,3000,6387.06679
13560,3000,6508.455891
13172,3000,6628.703008
14328,3000,6748.274101
13874,3000,6877.319005
13864,3000,7000.999235
14090,3000,7126.673132
13962,3000,7246.743407
12772,3000,7370.958224
14038,3000,7494.012266
13540,3000,7622.922755
13512,3000,7752.320673
12678,3000,7878.134274
13506,3000,8005.911478
13460,3000,8131.811934
13338,3000,8745.977877
13644,3000,8869.921573
12898,3000,8991.940179
14148,3000,9114.752158
13070,3000,9241.402283
13324,3000,9363.803359
14086,3000,9489.513766
14108,3000,9610.985668
13752,3000,9739.623072
13028,3000,9857.612913
13284,3000,9986.004791
13636,3000,10108.314555
13596,3000,10229.546454
13284,3000,10357.797517
13010,3000,10486.825735
13004,3000,10613.566241
13694,3000,10737.053436
14072,3000,10859.155602
13014,3000,10982.137018
13602,3000,11109.975207
14134,3000,11232.31228
14268,3000,11356.949087
13474,3000,11487.111201
13552,3000,11608.329214
14542,3000,11732.841093
13940,3000,11858.462846
14522,3000,11988.924401
14460,3000,12117.740924
13852,3000,12241.493907
13068,3000,12366.412851
13558,3000,12491.928459
13634,3000,12617.60061
13020,3000,12737.417429
13340,3000,12859.594973
12708,3000,12982.385891
13218,3000,13112.783875
13066,3000,13231.827305
13614,3000,13357.446374
13970,3000,13489.358978
14582,3000,13616.460346
13194,3000,13741.276027
14736,3000,13863.226729
14394,3000,13990.098953
13514,3000,14110.918663
14962,3000,14241.633635
13918,3000,14373.743285
13448,3000,14501.530835
13982,3000,14623.51032
13156,3000,14762.169348
13558,3000,14910.491922
13902,3000,15050.899535
14048,3000,15192.833836
13990,3000,15332.348084
14256,3000,15467.93379
14730,3000,15613.311081
13560,3000,15765.559378
13736,3000,15907.905783
13278,3000,16054.590245
14140,3000,16194.66031
13630,3000,16339.878285
15204,3000,16482.154893
14086,3000,16615.829408
13400,3000,16756.064164
13502,3000,16897.192943
13652,3000,17037.186302
14160,3000,17185.543664
13330,3000,17327.000011
13002,3000,18203.718193
13250,3000,18381.511065
13330,3000,18577.364299
13738,3000,18768.482333
13182,3000,18940.320168
14248,3000,19111.193426
15064,3000,19289.76457
13520,3000,19464.389343
13244,3000,19635.43129
13576,3000,19807.453222
13422,3000,19962.668944
13160,3000,20139.422767
15018,3000,20299.330795
13274,3000,20477.440099
13808,3000,20647.364281
13318,3000,20804.453298
13090,3000,20969.842987
13810,3000,21130.091718
13790,3000,21291.277493
13342,3000,21450.131643
13580,3000,21624.486454
13548,3000,21801.397338
13962,3000,21968.025265
13094,3000,22133.177255
13162,3000,22319.167214
13926,3000,22484.862294
13808,3000,22649.229384
12258,3000,22831.259811
13692,3000,22995.470871
13462,3000,23160.508121
14542,3000,23337.744743
12724,3000,23514.306352
14364,3000,23694.589861
13850,3000,23856.496566
13792,3000,24029.65543
13856,3000,24190.264392
13754,3000,24363.559772
13856,3000,24534.168402
13740,3000,24710.093076
13218,3000,24889.262071
13998,3000,25048.863241
13840,3000,25210.320793
12360,3000,25369.454783
14340,3000,25530.110123
13844,3000,25701.745646
14114,3000,25859.9086
13572,3000,26035.534429
14410,3000,26201.679972
14354,3000,26374.486721
14370,3000,26539.872495
13644,3000,26700.029888
12642,3000,26867.338531
13194,3000,27043.084391
14060,3000,27216.552959
14120,3000,27384.685276
14624,3000,27560.198316
13212,3000,27740.970006
13246,3000,27893.988947
13754,3000,28043.644096
13290,3000,28198.591164
12962,3000,28373.956425
13776,3000,28562.737221
14564,3000,28747.647799
13908,3000,28907.8016
13830,3000,29089.744666
14408,3000,29266.392889
12852,3000,29443.911569
13390,3000,30326.277762
13974,3000,30507.555939
14582,3000,30687.266938
13702,3000,30856.478109
14664,3000,31020.946185
13642,3000,31192.967198
13526,3000,31363.964829
13764,3000,31528.466777
13712,3000,31698.572031
12332,3000,31855.859221
14206,3000,32015.974908
13428,3000,32190.992529
13822,3000,32366.811435
14312,3000,32553.585691
13750,3000,32723.200826
12440,3000,32877.084804
13908,3000,33045.035576
13306,3000,33220.892099
14140,3000,33393.625669
13978,3000,33558.807693
13010,3000,33726.202656
13614,3000,33893.502382
13554,3000,34064.464753
14808,3000,34231.81421
14182,3000,34387.213292
13102,3000,34558.983722
13810,3000,34724.543312
12716,3000,34899.726851
14402,3000,35073.567086
13812,3000,35240.662184
14386,3000,35426.537279
14764,3000,35597.877959
13876,3000,35769.86971
13656,3000,35942.196057
13844,3000,36100.533344
13222,3000,36273.112414
14222,3000,36451.310202
14396,3000,36617.21253
14336,3000,36785.47747
14584,3000,36947.449754
13190,3000,37105.749244
14248,3000,37277.197918
13506,3000,37437.926611
12576,3000,37603.034027
13024,3000,37772.104524
13134,3000,37945.80514
13826,3000,38121.596808
14198,3000,38296.705343
14260,3000,38468.669403
13972,3000,38640.546362
13054,3000,38796.266408
13630,3000,38987.678326
12778,3000,39166.88959
14182,3000,39331.457887
12824,3000,39504.162107
13486,3000,39662.91575
12234,3000,39835.051727
12784,3000,40009.073363
13790,3000,40169.314486
13774,3000,40338.875731
13780,3000,40508.210331
13374,3000,40677.204245
13976,3000,40847.516723
13746,3000,41012.331738
13798,3000,41171.789941
13416,3000,41325.910181
12976,3000,42115.86658
13676,3000,42296.744174
14308,3000,42470.001129
14164,3000,42635.690199
11820,3000,42811.46551
12604,3000,42988.091565
12896,3000,43150.206951
13024,3000,43321.308371
13360,3000,43487.910992
13336,3000,43649.057261
14250,3000,43809.180212
14686,3000,43970.889847
14204,3000,44145.266712
13946,3000,44317.21018
13348,3000,44483.135493
13898,3000,44646.355336
13060,3000,44816.190151
13652,3000,44984.045401
13532,3000,45151.918653
13650,3000,45319.381527
12926,3000,45487.943071
13736,3000,45666.972827
13550,3000,45825.706592
12708,3000,46009.389757
12782,3000,46188.275096
13960,3000,46352.556216
13082,3000,46512.133877
13444,3000,46696.002764
12618,3000,46862.766712
13206,3000,47030.253335
13194,3000,47205.395691
13398,3000,47370.965801
13002,3000,47544.767758
12952,3000,47711.056726
12008,3000,47901.522154
14666,3000,48079.127117
12820,3000,48250.26615
13642,3000,48437.078068
14028,3000,48616.454775
13122,3000,48779.854693
12534,3000,48951.113585
13054,3000,49130.37836
12772,3000,49304.652472
14090,3000,49485.218344
13600,3000,49653.037341
13228,3000,49830.733989
12380,3000,49996.325533
13212,3000,50175.387175
12664,3000,50352.341523
13194,3000,50538.153531
13334,3000,50725.945104
12762,3000,50910.635338
13786,3000,51081.145871
13890,3000,51252.361311
13054,3000,51422.948016
12630,3000,51586.371499
13106,3000,51761.06356
13134,3000,51941.896043
14226,3000,52121.489475
13334,3000,52297.524887
14230,3000,52457.116712
12802,3000,52631.414732
13884,3000,52801.338348
13612,3000,52974.621001
11848,3000,53153.418919
13114,3000,53339.684412
12650,3000,53502.603358
13552,3000,54216.670182
13022,3000,54385.249746
14132,3000,54550.427641
12724,3000,54733.950356
13280,3000,54910.511816
12320,3000,55070.075188
13842,3000,55247.509822
13350,3000,55408.941152
13968,3000,55592.334432
12736,3000,55773.457977
12128,3000,55937.274175
12918,3000,56120.611799
13594,3000,56290.119644
13144,3000,56481.900751
11846,3000,56656.460373
11964,3000,56843.185218
13434,3000,57006.169136
13918,3000,57168.749278
13936,3000,57356.427541
13124,3000,57532.13193
13776,3000,57698.679651
13540,3000,57876.686834
13278,3000,58052.423959
13152,3000,58226.084081
11694,3000,58398.751418
12370,3000,58570.179452
12638,3000,58741.455437
13474,3000,58914.429958
