76534.42291,12755.73715,1246.058419,41115.73715,3100.126736,492,0.514644351,74635.17569,12439.19595,1674.730189,37939.19595,4206.095132,461,0.481210856,56150.30009,9358.383349,815.0285875,32798.38335,2383.152611,493,0.513007284
72928.41489,12154.73581,1034.834395,38564.73581,2523.666897,484,0.506276151,56406.5523,9401.09205,679.7359284,31921.09205,3451.439456,470,0.490605428,75252.92959,12542.15493,789.0465357,39682.15493,3464.560838,476,0.502109705
57600.50189,9600.083649,1253.044139,32480.08365,2865.703608,487,0.509414226,71862.2535,11977.04225,1331.946094,39707.04225,4316.544033,503,0.52016546,77062.73998,12843.79,980.3903064,39293.79,2646.368285,478,0.504219409
70212.60851,11702.10142,1257.829943,40582.10142,3259.496092,486,0.491902834,73468.70103,12244.7835,1351.571123,38804.7835,2598.98895,488,0.504653568,58404.28741,9734.047902,887.9389057,32304.0479,1216.993923,485,0.511603376
70806.68682,11801.11447,966.0822677,38481.11447,1856.570159,481,0.486842105,58132.51697,9688.752828,674.6609719,32548.75283,2671.10677,494,0.510858325,74638.33504,12439.72251,1311.716872,40469.72251,3802.692405,477,0.478435306
56928.54731,9488.091219,515.6761869,34008.09122,3164.632744,502,0.508097166,72867.1821,12144.53035,1521.23808,40644.53035,2631.991144,485,0.498971193,75059.83864,12509.97311,860.4607497,38849.97311,2425.946147,477,0.478435306
73320.37969,12220.06328,1125.180487,40520.06328,3214.158298,514,0.530991736,71652.142,11942.02367,743.5083552,37932.02367,3643.064339,470,0.483539095,58069.78127,9678.296878,792.1594328,32808.29688,1804.898016,485,0.486459378
75678.61563,12613.10261,856.5433042,39193.10261,2866.531969,496,0.512396694,55277.33577,9212.889294,625.0506886,32352.88929,2432.690681,480,0.49382716,72154.62545,12025.77091,1234.410286,40445.77091,2873.465578,488,0.516949153
57758.74477,9626.457462,639.0317994,32906.45746,2371.764169,493,0.509297521,73673.24149,12278.87358,1239.37015,39718.87358,3429.050218,486,0.505723205,73116.07431,12186.01238,767.1121943,38496.01238,2921.111106,479,0.507415254
73717.97765,12286.32961,1000.942497,38866.32961,3590.58259,472,0.492693111,74602.28614,12433.71436,1166.829946,38613.71436,2608.943067,492,0.511966701,56691.57076,9448.595126,1373.844237,32868.59513,4348.002034,486,0.514830508
,,,,,490.7,0.506255589,,,,,,482.9,0.500152099,,,,,,482.4,0.501346468
