#{"t_start": 1680429558.0137577, "env_id": null}
r,l,t
-581405,3000,117.058255
-591441,3000,214.943928
-590430,3000,318.915482
-583412,3000,417.368772
-600443,3000,512.408831
-594422,3000,615.190315
-602416,3000,717.472254
-546445,3000,820.574244
-506395,3000,925.302274
-607399,3000,1034.822859
-630424,3000,1143.564957
-587398,3000,1248.272492
-557368,3000,1352.956996
-572400,3000,1452.334464
-603439,3000,1545.831627
-573415,3000,1647.222756
-599442,3000,1747.334217
-633394,3000,1851.648475
-578414,3000,1953.13488
-607415,3000,2053.872801
-600417,3000,2153.692428
-645425,3000,2251.774883
-537435,3000,2348.026578
-566412,3000,2441.920329
-589459,3000,2539.901173
-644451,3000,2640.26833
-509430,3000,2741.500508
-540453,3000,2839.989602
-645429,3000,2937.850554
-611456,3000,3043.544987
-577428,3000,3141.091552
-551445,3000,3239.415064
-539416,3000,3342.771233
-541443,3000,3449.060442
-596462,3000,3546.866757
-561412,3000,3651.157098
-578428,3000,3752.53198
-671425,3000,3853.124557
-602421,3000,3950.175237
-604438,3000,4049.822535
-603419,3000,4151.058048
-582409,3000,4249.420705
-621421,3000,4353.536434
-524446,3000,4452.554992
-552441,3000,4557.143982
-645414,3000,4657.520561
-540410,3000,4761.78708
-513412,3000,4865.942593
-522403,3000,4966.551023
-555426,3000,5064.639952
-595443,3000,5164.75324
-567440,3000,5273.612883
-510422,3000,5367.45674
-569429,3000,5468.208817
-614438,3000,5571.414656
-520405,3000,5669.434996
-529413,3000,5770.338611
-555433,3000,5871.033597
-599458,3000,5974.030941
-503469,3000,6072.80266
-638424,3000,6177.483008
-546408,3000,6271.363891
-558402,3000,6373.465059
-514436,3000,6472.905541
-629405,3000,6574.452631
-568405,3000,6679.402258
-624413,3000,7245.920859
-673439,3000,7353.538771
-645431,3000,7460.043285
-613443,3000,7557.848971
-635448,3000,7663.111876
-590434,3000,7760.994808
-607415,3000,7866.269865
-537440,3000,7966.069609
-591442,3000,8064.036958
-500404,3000,8162.480112
-580421,3000,8268.897188
-570438,3000,8366.062586
-550424,3000,8465.149143
-554416,3000,8570.675653
-500405,3000,8675.285456
-623420,3000,8778.422039
-630434,3000,8884.280097
-529417,3000,8986.613806
-571405,3000,9083.312763
-470434,3000,9176.833601
-599414,3000,9276.327393
-525410,3000,9376.974538
-572432,3000,9471.223969
-546428,3000,9570.488691
-595421,3000,9666.775194
-509416,3000,9766.807605
-506382,3000,9867.40434
-617456,3000,9967.769112
-630433,3000,10073.525048
-520418,3000,10180.026414
-597415,3000,10280.50595
-544403,3000,10378.009948
-561439,3000,10477.784386
-552384,3000,10574.937789
-543410,3000,10680.907737
-559401,3000,10788.209909
-622423,3000,10887.548091
-605401,3000,10994.007532
-586375,3000,11105.725621
-597409,3000,11210.267603
-597418,3000,11311.063929
-510381,3000,11414.569073
-594416,3000,11518.968361
-587427,3000,11620.801678
-518410,3000,11726.950749
-558433,3000,11825.750189
-601426,3000,11928.083243
-615410,3000,12031.109945
-526395,3000,12136.678655
-639434,3000,12248.127299
-602444,3000,12350.237265
-537407,3000,12457.51171
-611412,3000,12560.711839
-568442,3000,12666.04579
-563416,3000,12774.569674
-590418,3000,12875.489631
-519411,3000,12976.112496
-542440,3000,13080.479489
-601388,3000,13179.829871
-539427,3000,13280.701542
-540417,3000,13381.164341
-534449,3000,13484.609674
-480390,3000,13590.961346
-585411,3000,13692.157416
-497437,3000,13794.358975
-586453,3000,13894.578404
-561432,3000,13994.580207
-583420,3000,14488.219534
-579402,3000,14592.608211
-498445,3000,14695.461749
-571412,3000,14797.616005
-600419,3000,14900.588072
-577409,3000,15004.105642
-554424,3000,15106.375868
-579410,3000,15210.501681
-505419,3000,15314.152523
-589420,3000,15413.063687
-558425,3000,15514.70593
-605418,3000,15622.152654
-571435,3000,15723.013947
-591416,3000,15826.424363
-529415,3000,15925.104278
-549432,3000,16021.757739
-554434,3000,16126.02137
-608446,3000,16225.296981
-549421,3000,16331.862483
-595419,3000,16429.651551
-560432,3000,16536.489527
-603416,3000,16632.635101
-577414,3000,16738.331151
-528411,3000,16840.620994
-611432,3000,16944.762678
-561431,3000,17049.0598
-556417,3000,17156.810068
-495437,3000,17252.239265
-544429,3000,17360.493237
-548371,3000,17471.836294
-524432,3000,17578.27841
-543417,3000,17684.879269
-590439,3000,17784.354573
-528441,3000,17877.354617
-579391,3000,17973.476202
-549425,3000,18072.553703
-581432,3000,18171.230963
-585411,3000,18265.592248
-557385,3000,18362.118693
-531389,3000,18460.522936
-565455,3000,18553.070585
-507445,3000,18647.236889
-607445,3000,18746.108941
-544440,3000,18847.841106
-561440,3000,18943.587839
-627429,3000,19041.389412
-538436,3000,19137.464586
-473422,3000,19232.433024
-503395,3000,19329.173245
-549410,3000,19427.45313
-546410,3000,19523.110622
-551458,3000,19620.444802
-503418,3000,19723.696729
-467407,3000,19824.469458
-562423,3000,19923.77925
-535419,3000,20021.948939
-531433,3000,20119.78005
-548440,3000,20217.977262
-611451,3000,20315.544231
-535401,3000,20414.141952
-549446,3000,20507.903365
-547417,3000,20608.405891
-522407,3000,20705.195553
-478421,3000,20803.861706
-562447,3000,20900.818121
-583417,3000,21002.581874
-580417,3000,21102.632574
-491423,3000,21586.969323
-564417,3000,21680.954721
-545425,3000,21781.054677
-610458,3000,21883.085517
-535434,3000,21974.967767
-489438,3000,22072.305498
-542459,3000,22170.663382
-520392,3000,22273.106758
-521429,3000,22371.644517
-570437,3000,22467.036076
-564419,3000,22565.173352
-563415,3000,22664.986523
-534430,3000,22770.070991
-474415,3000,22870.544626
-499454,3000,22973.446285
-580438,3000,23075.905965
-511415,3000,23175.260135
-487383,3000,23277.501831
-481433,3000,23371.484385
-573435,3000,23470.092127
-507473,3000,23569.420557
-560427,3000,23667.300465
-555432,3000,23768.667722
-494414,3000,23861.271495
-481422,3000,23961.049487
-565431,3000,24062.227355
-571477,3000,24158.35112
-534443,3000,24261.613099
-489404,3000,24361.731756
-584437,3000,24463.231765
-516425,3000,24562.485029
-583435,3000,24655.146912
-518413,3000,24758.111892
-499448,3000,24850.142696
-529411,3000,24950.490033
-545456,3000,25049.001724
-508394,3000,25144.817965
-535451,3000,25242.036905
-494422,3000,25339.940773
-530404,3000,25445.028143
-545405,3000,25550.11705
-548427,3000,25649.099894
-550445,3000,25744.772655
-529452,3000,25842.758555
-591465,3000,25946.223523
-553433,3000,26053.508349
-500450,3000,26145.41765
-532442,3000,26236.003083
-523429,3000,26335.573231
-536450,3000,26433.728187
-546443,3000,26534.345563
-497426,3000,26633.166352
-500439,3000,26734.007428
-495418,3000,26833.447762
-511444,3000,26932.81826
-505420,3000,27033.256983
-528458,3000,27132.116907
-503430,3000,27235.185556
-532411,3000,27331.667173
-558422,3000,27435.8619
