#{"t_start": 1680175661.7005804, "env_id": null}
r,l,t
-364108,3000,14.298261
-355164,3000,27.450273
-367248,3000,42.555783
-383356,3000,61.247061
-369832,3000,78.364322
-386280,3000,96.733215
-354172,3000,113.952187
-361052,3000,132.086741
-387048,3000,149.944463
-411204,3000,167.605853
-356772,3000,186.646814
-383068,3000,205.400387
-370800,3000,223.704349
-388276,3000,241.828126
-340900,3000,260.126271
-343060,3000,278.916469
-368904,3000,297.152019
-359268,3000,316.248998
-368112,3000,334.34934
-360004,3000,352.233281
-384260,3000,370.844795
-389840,3000,388.602502
-397064,3000,406.714467
-405224,3000,424.210478
-358204,3000,442.91938
-369076,3000,461.132509
-351220,3000,479.86902
-358160,3000,498.248274
-383236,3000,516.623745
-363044,3000,537.578331
-375084,3000,556.393342
-388064,3000,574.178144
-390364,3000,593.652291
-367172,3000,612.229935
-339764,3000,630.960249
-363904,3000,650.73379
-381116,3000,669.915802
-372844,3000,688.393464
-381208,3000,707.49197
-354792,3000,726.87704
-393056,3000,746.157578
-376980,3000,765.319275
-367148,3000,784.219268
-353884,3000,803.287954
-343000,3000,821.490327
-386936,3000,840.018295
-352004,3000,859.871083
-351768,3000,877.785505
-378040,3000,896.520466
-370132,3000,915.103556
-351924,3000,933.9147
-393268,3000,952.11944
-375200,3000,970.84295
-354904,3000,988.732331
-367896,3000,1007.202277
-371336,3000,1026.112192
-366064,3000,1045.419239
-365884,3000,1063.334102
-387832,3000,1081.786507
-338772,3000,1099.584727
-388140,3000,1117.777297
-357960,3000,1135.806699
-351872,3000,1154.135678
-391308,3000,1171.576185
-361144,3000,1189.402929
-355208,3000,1207.109668
-392248,3000,1235.044858
-379216,3000,1253.012734
-362264,3000,1271.128534
-372876,3000,1289.061354
-358928,3000,1306.558528
-359076,3000,1324.00656
-328060,3000,1342.79401
-353660,3000,1360.415483
-382112,3000,1378.634176
-335920,3000,1397.42114
-366708,3000,1415.231003
-338964,3000,1433.08618
-341944,3000,1450.965515
-381184,3000,1469.408351
-363728,3000,1487.636595
-358224,3000,1506.415042
-373976,3000,1524.596947
-350800,3000,1542.399243
-359828,3000,1561.007271
-359112,3000,1578.716673
-392992,3000,1596.669829
-372168,3000,1615.118725
-388084,3000,1633.637929
-379068,3000,1651.544776
-362028,3000,1669.692722
-374220,3000,1687.37936
-380116,3000,1705.531337
-331836,3000,1723.220348
-352668,3000,1741.464968
-369956,3000,1759.356387
-375060,3000,1777.295253
-379000,3000,1795.476553
-351932,3000,1813.667825
-363076,3000,1832.92449
-381472,3000,1850.961776
-347724,3000,1867.974553
-345724,3000,1885.008438
-373892,3000,1903.507193
-380148,3000,1921.912382
-358084,3000,1939.911731
-368736,3000,1958.243068
-337812,3000,1976.328231
-380280,3000,1994.500563
-348900,3000,2013.239122
-393964,3000,2031.487846
-362684,3000,2048.658949
-381952,3000,2066.338485
-353624,3000,2084.013535
-363140,3000,2102.557726
-363048,3000,2121.181217
-348632,3000,2139.664881
-339108,3000,2157.336694
-352660,3000,2174.971576
-388840,3000,2193.006819
-373016,3000,2210.940591
-382156,3000,2228.678032
-372992,3000,2247.109708
-345960,3000,2265.774606
-359708,3000,2283.706373
-335548,3000,2301.661269
-362876,3000,2319.324837
-361792,3000,2337.20252
-351160,3000,2355.109663
-324404,3000,2373.050313
-380932,3000,2390.617323
-338568,3000,2408.305895
-378076,3000,2426.439371
-354824,3000,2452.491632
-329692,3000,2469.908173
-360940,3000,2487.506373
-368000,3000,2505.124826
-372036,3000,2522.840776
-334672,3000,2540.013341
-345940,3000,2557.477321
-343040,3000,2575.170534
-361728,3000,2592.578734
-350528,3000,2610.44329
-322840,3000,2628.92546
-344076,3000,2646.616058
-349780,3000,2663.902649
-360968,3000,2681.573264
-333708,3000,2699.464386
-364088,3000,2716.456864
-359000,3000,2734.424607
-365748,3000,2753.662792
-368712,3000,2771.989398
-353680,3000,2789.535947
-358804,3000,2807.122269
-358568,3000,2825.711887
-327744,3000,2843.490769
-369940,3000,2861.582351
-320828,3000,2879.885278
-347824,3000,2896.500816
-360784,3000,2913.549393
-345920,3000,2931.082246
-341568,3000,2948.740576
-329496,3000,2967.015411
-327540,3000,2984.80289
-349704,3000,3002.425958
-321560,3000,3020.31097
-331832,3000,3038.82434
-356656,3000,3055.662429
-367784,3000,3073.259809
-320596,3000,3090.957309
-337464,3000,3109.471094
-370816,3000,3128.424002
-362444,3000,3146.967332
-370984,3000,3164.710857
-339840,3000,3182.675797
-353576,3000,3200.466326
-326680,3000,3217.399125
-324616,3000,3235.560813
-371820,3000,3252.864321
-334800,3000,3270.693099
-348884,3000,3288.398085
-365976,3000,3306.923077
-330672,3000,3325.120725
-356808,3000,3343.930475
-329856,3000,3362.881989
-342624,3000,3380.157151
-353700,3000,3398.043255
-339564,3000,3415.670779
-359716,3000,3434.195365
-334556,3000,3451.313439
-370664,3000,3469.895725
-301972,3000,3488.42962
-368764,3000,3505.96721
-333888,3000,3524.194628
-338664,3000,3541.963094
-341588,3000,3559.425363
-357576,3000,3577.857214
-326868,3000,3595.772436
-312684,3000,3614.689944
-344792,3000,3632.642271
-307684,3000,3659.589247
-362600,3000,3677.295454
-353748,3000,3695.195842
-337760,3000,3712.946819
-332636,3000,3730.22406
-342596,3000,3747.640035
-331768,3000,3766.103709
-329496,3000,3783.508989
-341692,3000,3801.536485
-335176,3000,3819.664671
-351908,3000,3837.297788
-338716,3000,3855.808748
-342568,3000,3873.761546
-344752,3000,3891.535408
-338852,3000,3908.915397
-343816,3000,3926.751638
-343640,3000,3945.355075
-356656,3000,3963.058823
-352968,3000,3981.687233
-352724,3000,3999.262677
-356796,3000,4017.730685
-351636,3000,4035.128154
-339016,3000,4052.504291
-336588,3000,4070.318195
-396308,3000,4087.996822
-315536,3000,4105.336062
-347784,3000,4123.787194
-339916,3000,4142.394954
-333752,3000,4159.993675
-335640,3000,4178.102484
-349940,3000,4196.261941
-331820,3000,4213.179357
-348728,3000,4230.793441
-321572,3000,4248.533539
-359684,3000,4266.452046
-335968,3000,4285.099931
-341292,3000,4304.123269
-325448,3000,4322.620574
-328476,3000,4340.107209
-326508,3000,4358.087168
-367040,3000,4376.378922
-364884,3000,4394.582754
-371000,3000,4413.117486
-326464,3000,4431.777451
-336416,3000,4449.373853
-336476,3000,4466.964093
-336764,3000,4484.476086
-325604,3000,4502.534896
-345136,3000,4521.054798
-330772,3000,4539.365026
-321492,3000,4557.567088
-344812,3000,4575.912149
-327688,3000,4594.545374
-359928,3000,4612.395711
-301364,3000,4630.211064
-337624,3000,4649.489379
-342508,3000,4667.745574
-344600,3000,4684.943766
-336820,3000,4703.051986
-304672,3000,4721.343225
-338524,3000,4739.466995
-312840,3000,4756.815151
-351524,3000,4774.764743
-344472,3000,4792.326213
-354884,3000,4810.800484
-344604,3000,4829.024823
-333728,3000,4856.017003
-362812,3000,4874.159709
-339680,3000,4892.258199
-336676,3000,4910.14657
-314276,3000,4928.215008
-317604,3000,4946.365641
-350560,3000,4964.616969
-347584,3000,4981.813073
-331656,3000,4998.946409
-336676,3000,5016.813207
-331572,3000,5034.880758
-341816,3000,5052.731701
-330692,3000,5070.586817
-328428,3000,5088.000154
-342648,3000,5105.450267
-363736,3000,5123.870048
-344504,3000,5141.376157
-325656,3000,5159.944691
-329684,3000,5179.093301
-352756,3000,5196.03569
-352680,3000,5214.574412
-325668,3000,5233.746857
-319420,3000,5250.750048
-387652,3000,5268.895219
-315380,3000,5287.10767
-333612,3000,5305.030814
-345756,3000,5323.96985
